Method;Gauss;LU
Residual;2.99836e-16;2.22261e-16

Answers:;-345.745;-345.745
;44.0192;44.0192
;4.55325;4.55325
;8.44836;8.44836
;7.96312;7.96312
;7.92039;7.92039
;7.83296;7.83296
;7.75004;7.75004
;7.66666;7.66666
;7.58333;7.58333
;7.5;7.5
;7.41667;7.41667
;7.33333;7.33333
;7.25;7.25
;7.16667;7.16667
;7.08333;7.08333
;7;7
;6.91667;6.91667
;6.83333;6.83333
;6.75;6.75
;6.66667;6.66667
;6.58333;6.58333
;6.5;6.5
;6.41667;6.41667
;6.33333;6.33333
;6.25;6.25
;6.16667;6.16667
;6.08333;6.08333
;6;6
;5.91667;5.91667
;5.83333;5.83333
;5.75;5.75
;5.66667;5.66667
;5.58333;5.58333
;5.5;5.5
;5.41667;5.41667
;5.33333;5.33333
;5.25;5.25
;5.16667;5.16667
;5.08333;5.08333
;5;5
;4.91667;4.91667
;4.83333;4.83333
;4.75;4.75
;4.66667;4.66667
;4.58333;4.58333
;4.5;4.5
;4.41667;4.41667
;4.33333;4.33333
;4.25;4.25
;4.16667;4.16667
;4.08333;4.08333
;4;4
;3.91667;3.91667
;3.83333;3.83333
;3.75;3.75
;3.66667;3.66667
;3.58333;3.58333
;3.5;3.5
;3.41667;3.41667
;3.33333;3.33333
;3.25;3.25
;3.16667;3.16667
;3.08333;3.08333
;3;3
;2.91667;2.91667
;2.83333;2.83333
;2.75;2.75
;2.66667;2.66667
;2.58333;2.58333
;2.5;2.5
;2.41667;2.41667
;2.33333;2.33333
;2.25;2.25
;2.16667;2.16667
;2.08333;2.08333
;2;2
;1.91667;1.91667
;1.83333;1.83333
;1.75;1.75
;1.66667;1.66667
;1.58333;1.58333
;1.5;1.5
;1.41667;1.41667
;1.33333;1.33333
;1.25;1.25
;1.16667;1.16667
;1.08333;1.08333
;1;1
;0.916667;0.916667
;0.833333;0.833333
;0.75;0.75
;0.666667;0.666667
;0.583334;0.583334
;0.499991;0.499991
;0.416754;0.416754
;0.332473;0.332473
;0.258514;0.258514
;0.0823873;0.0823873
;0.917613;0.917613
